island	sitename	depthname	quad	species	colony	year_t	allfate_t	fate_t	fusee_t	area_t	peri_t	P:A	NumFeatures	P:A>10	
Ma	HonN	03m	1	MC	01	2000	S	S		4.323424	14.502907	3.35449564974428	0	0	
Ma	HonN	03m	1	MC	02	2000	I	I		6.945303	14.208578	2.04578230784172	0	0	
Ma	HonN	03m	1	MC	02a	2000	I	I		1.590963	5.449414	3.42522987649619	1	0	
Ma	HonN	03m	1	MC	03	2000	I	I		23.612366	28.521620	1.20791029581703	0	0	
Ma	HonN	03m	1	MC	03a	2000	I	I		1.387634	5.533381	3.98763722999004	0	0	
Ma	HonN	03m	1	MC	04	2000	I	I		165.809750	128.683947	0.776093969142345	0	0	
Ma	HonN	03m	1	MC	04a	2000	I	I		5.291320	13.143796	2.48402969391381	0	0	
Ma	HonN	03m	1	MC	05	2000	S	S		1.732461	5.843008	3.37266351161729	0	0	
Ma	HonN	03m	1	MC	06	2000	S	S		12.722949	15.850483	1.24581832403793	0	0	
Ma	HonN	03m	1	MC	07	2000	S	S		6.568371	11.400053	1.73559821757937	0	0	
Ma	HonN	03m	1	MC	08	2000	S	S		8.136742	12.501174	1.53638569343848	0	0	
Ma	HonN	03m	1	MC	09	2000	S	S		26.390012	24.735448	0.937303400998833	3	0	
Ma	HonN	03m	1	PC	01	2000	S	S		24.982164	33.228553	1.33009106016596	0	0	
Ma	HonN	03m	1	PC	02	2000	S	S		42.434007	44.041384	1.03787945361842	0	0	
Ma	HonN	03m	1	PC	03	2000	S	S		0.724138	3.986137	5.50466485669859	1	0	
Ma	HonN	03m	1	PC	04	2000	S	S		3.414982	9.665816	2.83041491873164	0	0	
Ma	HonN	03m	1	PC	05	2000	S	S		20.612366	25.167113	1.22097157599472	0	0	
Ma	HonN	03m	1	PC	06	2000	S	S		3.925089	8.076143	2.05756939524174	0	0	
Ma	HonN	03m	1	PC	07	2000	D	D					0		
Ma	HonN	03m	1	PC	08	2000	I	I		3.292509	9.309156	2.8273745037599	3	0	
Ma	HonN	03m	1	PC	08a	2000	I	I		1.760999	5.243953	2.97782849394009	0	0	
Ma	HonN	03m	1	PC	09	2000	D	D					0		
Ma	HonN	03m	1	PC	10	2000	S	S		0.309156	2.188133	7.07776332983995	0	0	
Ma	HonN	03m	1	PC	11	2000	S	S		4.266350	10.496273	2.46024658080092	0	0	
Ma	HonN	03m	1	PC	12	2000	S	S		1.136742	4.302101	3.78458876332536	0	0	
Ma	HonN	03m	1	PC	13	2000	S	S		4.170036	9.108893	2.18436795269873	0	0	
Ma	HonN	03m	1	PC	14	2000	S	S		11.040428	18.451516	1.67126817909596	0	0	
Ma	HonN	03m	1	PC	15	2000	S	S		3.464923	7.497883	2.16393928523087	0	0	
Ma	HonN	03m	1	PC	16	2000	S	S		15.488704	21.692301	1.40052395603919	0	0	
Ma	HonN	03m	1	PC	17	2000	U	U		37.128419	49.912364	1.34431697724592	0	0	
Ma	HonN	03m	1	PC	18	2000	U	U	17				0		
Ma	HonN	03m	1	PC	19	2000	I	I		5.954816	13.318661	2.23662007356734	0	0	
Ma	HonN	03m	1	PC	19a	2000	I	I		1.777646	5.782409	3.25284617972307	0	0	
Ma	HonN	03m	1	PC	19b	2000	I	I		0.583829	2.931455	5.0210849409673	0	0	
Ma	HonN	03m	1	PC	20	2000	U	U		13.263971	19.098496	1.4398776957519	0	0	
Ma	HonN	03m	1	PC	21	2000	U	U	20				0		
Ma	HonN	03m	1	PC	22	2000	S	S		1.252081	4.650394	3.71413191319092	0	0	
Ma	HonN	03m	1	PC	23	2000	R	R		3.370987	8.249869	2.44731557849378	0	0	
Ma	HonN	03m	1	PC	24	2000	R	R		2.200951	7.743446	3.51822734808726	0	0	
Ma	HonN	03m	1	PL	01	2000	S	S		47.678954	35.829340	0.751470764228594	0	0	
Ma	HonN	03m	1	PL	02	2000	S	S		33.946492	27.320045	0.80479729687533	0	0	
Ma	HonN	03m	1	PL	03	2000	S	S		17.914388	22.521620	1.25718054113822	0	0	
Ma	HonN	03m	1	PL	04	2000	S	S		183.670630	86.303231	0.469880410384611	1	0	
Ma	HonN	03m	1	PL	05	2000	S	S		18.694411	19.802260	1.05926097377446	0	0	
Ma	HonN	03m	1	PL	06	2000	S	S		39.507729	41.313955	1.04571829476708	0	0	
Ma	HonN	03m	1	PL	07	2000	S	S		3.005945	7.406985	2.46411195148281	0	0	
Ma	HonN	03m	1	PL	08	2000	S	S		2.617122	8.335866	3.18512702120879	0	0	
Ma	HonN	03m	1	PL	09	2000	R	R		3.831153	8.511869	2.22175125869418	0	0	
Ma	HonN	03m	1	PL	10	2000	R	R		2.642093	7.046859	2.66715024792844	0	0	
Ma	HonN	03m	1	PL	11	2000	R	R		0.865636	4.115701	4.75454001450956	0	0	
Ma	HonN	03m	1	PV	01	2000	S	S		0.883472	4.796692	5.42936505061847	1	0	
Ma	HonN	03m	1	PV	02	2000	S	S		0.707491	4.263435	6.02613319462721	0	0	
Ma	HonN	03m	2	PC	01	2000	S	S		14.852637	20.113321	1.35419191891649	0	0	
Ma	HonN	03m	2	PC	02	2000	U	U	03				0		
Ma	HonN	03m	2	PC	03	2000	U	U		8.542002	15.547707	1.82014789975465	0	0	
Ma	HonN	03m	2	PC	04	2000	S	S		0.174102	1.607802	9.23482785953062	0	0	
Ma	HonN	03m	2	PC	05	2000	S	S		4.648956	9.591239	2.06309524116812	0	0	
Ma	HonN	03m	2	PL	01	2000	S	S		6.673163	15.182157	2.27510657240052	0	0	
Ma	HonN	03m	2	PL	02	2000	S	S		2.329436	9.437632	4.05146653524716	0	0	
Ma	HonN	03m	2	PL	03	2000	S	S		32.460047	41.845834	1.28914890357368	0	0	
Ma	HonN	03m	2	PL	04	2000	S	S		5.136000	9.128177	1.77729302959502	0	0	
Ma	HonN	03m	2	PL	05	2000	S	S		15.926999	21.743904	1.36522291487555	0	0	
Ma	HonN	03m	2	PL	06	2000	S	S		12.413009	15.287151	1.23154273069487	0	0	
Ma	HonN	03m	2	PL	07	2000	S	S		25.624903	45.037274	1.75755880910066	0	0	
Ma	HonN	03m	2	PL	08	2000	S	S		4.107918	9.162063	2.23034223175828	0	0	
Ma	HonN	03m	2	PL	09	2000	S	S		8.533186	20.787230	2.43604557547439	0	0	
Ma	HonN	03m	2	PL	10	2000	D	D					0		
Ma	HonN	03m	2	PL	11	2000	S	S		54.710904	39.087764	0.714441932818365	0	0	
Ma	HonN	03m	2	PL	12	2000	I	I		28.152683	26.972845	0.958091454373993	0	0	
Ma	HonN	03m	2	PL	12a	2000	I	I		20.880081	21.392508	1.02454142778469	0	0	
Ma	HonN	03m	2	PL	12b	2000	I	I		2.426405	6.323972	2.6063134555031	0	0	
Ma	HonN	03m	2	PL	13	2000	S	S		24.855770	29.820944	1.19975941199971	0	0	
Ma	HonN	03m	2	PL	14	2000	S	S		0.405503	2.616425	6.4522950508381	0	0	
Ma	HonN	03m	2	PL	15	2000	S	S		26.245278	21.845848	0.832372512876412	0	0	
Ma	HonN	03m	2	PL	16	2000	S	S		2.372411	6.934542	2.92299352852436	0	0	
Ma	HonN	03m	2	PL	17	2000	S	S		13.212996	25.376720	1.9205878818097	0	0	
Ma	HonN	03m	2	PL	18	2000	S	S		2.974053	7.185089	2.41592500200904	0	0	
Ma	HonN	03m	2	PL	20	2000	S	S		1.075464	4.157837	3.86608663795348	0	0	
Ma	HonN	03m	2	PL	21	2000	S	S		3.268263	14.424081	4.41337829911485	0	0	
Ma	HonN	03m	2	PL	22	2000	D	D					0		
Ma	HonN	03m	2	MC	01	2000	U	U		3.580104	10.779301	3.01089046575183	0	0	
Ma	HonN	03m	2	MC	02	2000	U	U	01				0		
Ma	HonN	03m	2	MC	03	2000	S	S		0.292006	2.506426	8.58347431217167	0	0	
Ma	HonN	03m	2	MC	04	2000	D	D					0		
Ma	HonN	03m	2	MC	05	2000	D	D					0		
Ma	HonN	03m	2	MC	06	2000	S	S		3.657237	10.698756	2.92536578843537	0	0	
Ma	HonN	03m	2	MC	07	2000	D	D					0		
Ma	HonN	03m	2	MC	08	2000	D	D					0		
Ma	HonN	03m	2	MC	09	2000	D	D					0		
Ma	HonN	03m	2	MC	10	2000	U	U	11				0		
Ma	HonN	03m	2	MC	11	2000	U	U		12.386564	31.490704	2.54232763823769	0	0	
Ma	HonN	03m	2	MC	12	2000	S	S		3.047881	7.714827	2.53121004396169	0	0	
Ma	HonN	03m	2	MC	13	2000	D	D					0		
Ma	HonN	03m	2	MC	14	2000	S	S		6.479227	17.801346	2.74744903983145	0	0	
Ma	HonN	03m	2	MC	15	2000	S	S		0.628088	4.128669	6.57339258193119	0	0	
Ma	HonN	03m	2	MC	16	2000	I	I		0.769133	4.089779	5.31738854008344	0	0	
Ma	HonN	03m	2	MC	16a	2000	I	I		0.795579	4.573954	5.74921409438912	0	0	
Ma	HonN	03m	2	MC	17	2000	S	S		3.116200	9.170403	2.94281592965792	0	0	
Ma	HonN	03m	2	MC	18	2000	S	S		5.296878	15.211325	2.87175294579184	0	0	
Ma	HonN	03m	2	MP	01	2000	D	D					0		
Ma	HonN	03m	2	PV	01	2000	S	S		10.237840	20.599164	2.01206152860369	0	0	
Ma	HonN	03m	3	PL	01	2000	S	S		6.524146	11.164496	1.71125784125616	0	0	
Ma	HonN	03m	3	PL	02	2000	S	S		2.045289	6.215064	3.03872166720693	0	0	
Ma	HonN	03m	3	PL	03	2000	S	S		5.641101	9.628062	1.70677000819521	0	0	
Ma	HonN	03m	3	PL	04	2000	S	S		8.730460	12.414141	1.42193435397448	0	0	
Ma	HonN	03m	3	PL	05	2000	S	S		2.310202	8.487585	3.673957948266	0	0	
Ma	HonN	03m	3	PL	06	2000	S	S		23.788978	24.993847	1.0506482035504	0	0	
Ma	HonN	03m	3	PL	07	2000	D	D					0		
Ma	HonN	03m	3	PL	08	2000	S	S		4.982712	8.944438	1.79509431811431	0	0	
Ma	HonN	03m	3	PL	09	2000	S	S		20.629494	22.220133	1.07710509041085	0	0	
Ma	HonN	03m	3	PL	10	2000	S	S		1.553121	6.188833	3.98477195273259	0	0	
Ma	HonN	03m	3	PL	11	2000	S	S		2.995861	7.170989	2.39363208106117	0	0	
Ma	HonN	03m	3	PL	12	2000	S	S		29.476828	34.308268	1.16390637418653	0	0	
Ma	HonN	03m	3	PL	13	2000	S	S		3.428293	8.506884	2.48137600841002	0	0	
Ma	HonN	03m	3	PL	14	2000	S	S		13.458648	16.753521	1.24481456086822	0	0	
Ma	HonN	03m	3	PL	15	2000	I	I		15.129941	16.790618	1.1097609699866	0	0	
Ma	HonN	03m	3	PL	15a	2000	I	I		1.925818	5.949696	3.08943835814184	0	0	
Ma	HonN	03m	3	PL	16	2000	D	D					0		
Ma	HonN	03m	3	PL	17	2000	U	U		7.179937	22.629645	3.15178879703262	0	0	
Ma	HonN	03m	3	PL	18	2000	U	U	17				0		
Ma	HonN	03m	3	PL	19	2000	S	S		3.321808	9.863887	2.96943321227476	0	0	
Ma	HonN	03m	3	PL	20	2000	D	D					0		
Ma	HonN	03m	3	PL	21	2000	D	D					0		
Ma	HonN	03m	3	PL	22	2000	S	S		6.972161	11.972965	1.71725308695539	0	0	
Ma	HonN	03m	3	PL	23	2000	S	S		3.834754	10.073171	2.62681022042092	0	0	
Ma	HonN	03m	3	PL	24	2000	D	D					0		
Ma	HonN	03m	3	PL	25	2000	S	S		0.560993	2.766470	4.9313806054621	0	0	
Ma	HonN	03m	3	PL	26	2000	S	S		4.072397	8.445366	2.07380714601253	0	0	
Ma	HonN	03m	3	PL	27	2000	S	S		2.734843	6.870646	2.51226340963631	0	0	
Ma	HonN	03m	3	PL	28	2000	S	S		3.176366	8.626607	2.71587310782196	0	0	
Ma	HonN	03m	3	PL	29	2000	D	D					0		
Ma	HonN	03m	3	PL	30	2000	D	D					0		
Ma	HonN	03m	3	PL	31	2000	S	S		0.554500	3.707029	6.68535437330929	0	0	
Ma	HonN	03m	3	PL	32	2000	S	S		2.349160	7.760242	3.3034114321715	0	0	
Ma	HonN	03m	3	PL	33	2000	S	S		0.161026	1.548489	9.61639114180319	0	0	
Ma	HonN	03m	3	PL	34	2000	S	S		0.911614	3.828253	4.19942322079301	0	0	
Ma	HonN	03m	3	PL	35	2000	S	S		13.478127	15.281658	1.1338116935684	0	0	
Ma	HonN	03m	3	PL	36	2000	R	R		1.071342	4.757946	4.44110844156208	0	0	
Ma	HonN	03m	3	PL	37	2000	R	R		0.610340	3.884338	6.3642199429826	0	0	
Ma	HonN	03m	3	MC	01	2000	S	S		3.912669	10.918426	2.79053147608448	0	0	
Ma	HonN	03m	3	MC	02	2000	S	S		2.532262	8.325953	3.28795085184708	0	0	
Ma	HonN	03m	3	MC	05	2000	R	R		0.471390	3.162117	6.70806975116146	0	0	
Ma	HonN	03m	3	MC	06	2000	R	R		1.427157	6.246729	4.37704401127556	0	0	
Ma	HonN	03m	3	MC	03	2000	S	S		1.705056	8.974602	5.26352330949834	0	0	
Ma	HonN	03m	3	MC	04	2000	D	D					0		
Ma	HonN	03m	4	MC	01	2000	S	S		13.518792	18.762591	1.38788961321396	0	0	
Ma	HonN	03m	4	MC	02	2000	S	S		5.437099	12.520949	2.30287309464109	0	0	
Ma	HonN	03m	4	MC	03	2000	U	U	04				0		
Ma	HonN	03m	4	MC	04	2000	M	M		16.526349	29.768737	1.80128938339618	0	0	
Ma	HonN	03m	4	MC	04a	2000	I	I		1.944893	6.766091	3.47890141000045	0	0	
Ma	HonN	03m	4	MC	05	2000	S	S		0.840269	3.957369	4.70964536356809	0	0	
Ma	HonN	03m	4	MC	06	2000	S	S		0.564376	3.448637	6.11053092264731	0	0	
Ma	HonN	03m	4	MC	07	2000	S	S		1.549411	8.502337	5.48746394597689	0	0	
Ma	HonN	03m	4	MC	08	2000	R	R		2.494583	7.020318	2.81422506286622	0	0	
Ma	HonN	03m	4	MC	11	2000	D	D					0		
Ma	HonN	03m	4	MC	12	2000	S	S		0.395483	3.015796	7.62560211184804	0	0	
Ma	HonN	03m	4	MC	13	2000	R	R		0.921044	4.051954	4.39930557063506	0	0	
Ma	HonN	03m	4	MF	01	2000	S	S		0.722779	3.952486	5.46845716325461	0	0	
Ma	HonN	03m	4	MF	02	2000	S	S		0.208756	1.879891	9.00520703596543	0	0	
Ma	HonN	03m	4	MF	03	2000	S	S		0.550738	3.254305	5.90898939241527	0	0	
Ma	HonN	03m	4	MF	04	2000	D	D					0		
Ma	HonN	03m	4	MF	05	2000	S	S		1.862020	6.344364	3.40724804244852	0	0	
Ma	HonN	03m	4	MF	06	2000	S	S		7.197364	12.458079	1.73092245994506	0	0	
Ma	HonN	03m	4	MP	01	2000	U	U		9.897556	19.657011	1.98604695947161	0	0	
Ma	HonN	03m	4	MP	02	2000	U	U	01				0		
Ma	HonN	03m	4	MP	03	2000	U	U	01				0		
